bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
3.0,3.0,3.65,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Moderately Old,0,1
3.0,4.0,5.3,3046.4,1.0,1.0,1,1,1,1,1,1,1,0,0,0,76.0,37,3.0,New Property,0,1
3.0,3.0,3.25,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,0,1
3.0,3.0,2.85,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,172.0,39,3.0,Relatively New,0,1
3.0,4.0,4.25,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,39,3.0,New Property,0,1
3.0,3.0,3.1,2720.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,184.0,39,1.0,Relatively New,0,0
3.0,3.0,2.75,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,39,7.0,Relatively New,0,1
3.0,3.0,2.6,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,6.0,Relatively New,0,1
3.0,3.0,3.15,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,5.0,Relatively New,0,1
3.0,3.0,3.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,1.0,Relatively New,0,1
4.0,4.0,4.45,3508.8,1.0,0.0,0,0,0,0,0,0,0,0,0,0,7.0,0,3.0,Undefined,0,0
3.0,3.0,3.6,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,6.0,New Property,0,1
3.0,4.0,4.05,2747.2,1.0,1.0,1,1,1,1,1,1,1,1,1,1,166.0,39,3.0,New Property,0,1
3.0,3.0,1.6,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,39,3.0,Undefined,0,1
3.0,4.0,4.0,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,159.0,49,3.0,New Property,0,1
4.0,5.0,3.35,3264.0,1.0,1.0,1,1,1,0,0,0,1,0,0,1,152.0,49,3.0,Relatively New,0,1
3.0,4.0,3.2,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,167.0,39,3.0,Relatively New,0,1
